condition,turnout
Early Implementation,0.71856290102005
Late Implementation,0.658307194709778
Early Implementation,0.61224490404129
Early Implementation,0.570135772228241
Early Implementation,0.475609749555588
Early Implementation,0.463768124580383
Early Implementation,0.618644058704376
Early Implementation,0.710714280605316
Early Implementation,0.55805242061615
Early Implementation,0.31220930814743
Early Implementation,0.470228999853134
Early Implementation,0.450216442346573
Late Implementation,1
Late Implementation,0.373853206634522
Early Implementation,0.648745536804199
Early Implementation,0.580645143985748
Early Implementation,0.712962985038757
Early Implementation,0.511737108230591
Early Implementation,0.57267439365387
Early Implementation,0.31313818693161
Late Implementation,0.189014539122581
Late Implementation,0.490196079015732
Early Implementation,0.587412595748901
Early Implementation,0.726141095161438
Early Implementation,0.631840825080872
Early Implementation,0.613240420818329
Late Implementation,0.87007874250412
Late Implementation,0.443622916936874
Late Implementation,0.591489374637604
Early Implementation,1
Late Implementation,0.947955369949341
Late Implementation,1
Late Implementation,0.598755836486816
Early Implementation,0.699175834655762
Early Implementation,0.650847434997559
Early Implementation,0.855670094490051
Early Implementation,0.647577106952667
Early Implementation,0.610638320446014
Late Implementation,0.69856458902359
Early Implementation,0.587931036949158
Late Implementation,0.458874464035034
Early Implementation,0.75862067937851
Early Implementation,0.681388020515442
Early Implementation,0.520467817783356
Early Implementation,0.774096369743347
Late Implementation,0.72251307964325
Early Implementation,0.484144955873489
Late Implementation,0.666338562965393
Early Implementation,0.96875
Late Implementation,0.624754428863525
Early Implementation,0.791428565979004
Late Implementation,0.834999978542328
Late Implementation,0.517073154449463
Early Implementation,0.807947039604187
Early Implementation,0.629116117954254
Early Implementation,0.525222539901733
Early Implementation,0.557260930538178
Early Implementation,0.520604372024536
Late Implementation,0.573033690452576
Late Implementation,0.698076903820038
Late Implementation,0.639534890651703
Early Implementation,0.819428563117981
Early Implementation,1
Early Implementation,0.678151249885559
Early Implementation,0.833333313465118
Late Implementation,0.576802492141724
Early Implementation,0.567039132118225
Early Implementation,0.531493723392487
Early Implementation,0.525510191917419
Early Implementation,0.536340832710266
Early Implementation,0.35543766617775
Early Implementation,0.843137264251709
Early Implementation,0.712328791618347
Early Implementation,0.774086356163025
Early Implementation,0.655813932418823
Early Implementation,0.647540986537933
Early Implementation,0.741228044033051
Early Implementation,0.7734375
Late Implementation,0.625570774078369
Late Implementation,0.734899342060089
Late Implementation,0.525362312793732
Early Implementation,1
Early Implementation,0.508005797863007
Early Implementation,0.520421624183655
Late Implementation,0.502109706401825
Late Implementation,0.681159436702728
Late Implementation,0.510917007923126
Early Implementation,0.601984560489655
Early Implementation,0.644067823886871
Early Implementation,0.714614510536194
Late Implementation,0.419222891330719
Early Implementation,0.994974851608276
Early Implementation,0.432835817337036
Late Implementation,0.64102566242218
Early Implementation,0.551724135875702
Early Implementation,0.174027681350708
Early Implementation,0.770552158355713
Early Implementation,0.467213124036789
Early Implementation,0.721052646636963
Early Implementation,0.593596041202545
Early Implementation,0.950177907943726
Early Implementation,0.444099366664886
Late Implementation,0.690026938915253
Early Implementation,0.539024412631989
Early Implementation,0.538461565971375
Early Implementation,0.69072163105011
Late Implementation,0.581081092357636
Early Implementation,0.50943398475647
Early Implementation,0.0259135402739048
Early Implementation,0.514965176582336
Late Implementation,0.494130194187164
Early Implementation,0.669824063777924
Early Implementation,0.776000022888184
Late Implementation,0.663978517055512
Early Implementation,0.656804740428925
Early Implementation,0.735449731349945
Early Implementation,0.666666686534882
Early Implementation,0.64069265127182
Early Implementation,1
Late Implementation,0.649769604206085
Late Implementation,0.463768124580383
Early Implementation,0.881081104278565
Early Implementation,0.635262429714203
Early Implementation,0.67136150598526
Late Implementation,0.586734712123871
Late Implementation,0.711911380290985
Early Implementation,0.577049195766449
Early Implementation,0.679245293140411
Early Implementation,0.710622727870941
Early Implementation,0.794354856014252
Early Implementation,1
Early Implementation,0.767801880836487
Late Implementation,0.791316509246826
Early Implementation,0.688041567802429
Late Implementation,0.783720910549164
Early Implementation,0.417888551950455
Early Implementation,0.539033472537994
Early Implementation,1
Early Implementation,0.800738036632538
Early Implementation,0.898692786693573
Early Implementation,0.762376248836517
Early Implementation,0.899082541465759
Early Implementation,0.0381227731704712
Early Implementation,0.719971597194672
Late Implementation,0.341983318328857
