state,year,governor,house,senate
Alabama,1951,Democrat,Democrat,Democrat
Alabama,1952,Democrat,Democrat,Democrat
Alabama,1953,Democrat,Democrat,Democrat
Alabama,1954,Democrat,Democrat,Democrat
Alabama,1955,Democrat,Democrat,Democrat
Alabama,1956,Democrat,Democrat,Democrat
Alabama,1957,Democrat,Democrat,Democrat
Alabama,1958,Democrat,Democrat,Democrat
Alabama,1959,Democrat,Democrat,Democrat
Alabama,1960,Democrat,Democrat,Democrat
Alabama,1961,Democrat,Democrat,Democrat
Alabama,1962,Democrat,Democrat,Democrat
Alabama,1963,Democrat,Democrat,Democrat
Alabama,1964,Democrat,Democrat,Democrat
Alabama,1965,Democrat,Democrat,Democrat
Alabama,1966,Democrat,Democrat,Democrat
Alabama,1967,Democrat,Democrat,Democrat
Alabama,1968,Democrat,Democrat,Democrat
Alabama,1969,Democrat,Democrat,Democrat
Alabama,1970,Democrat,Democrat,Democrat
Alabama,1971,Democrat,Democrat,Democrat
Alabama,1972,Democrat,Democrat,Democrat
Alabama,1973,Democrat,Democrat,Democrat
Alabama,1974,Democrat,Democrat,Democrat
Alabama,1975,Democrat,Democrat,Democrat
Alabama,1976,Democrat,Democrat,Democrat
Alabama,1977,Democrat,Democrat,Democrat
Alabama,1978,Democrat,Democrat,Democrat
Alabama,1979,Democrat,Democrat,Democrat
Alabama,1980,Democrat,Democrat,Democrat
Alabama,1981,Democrat,Democrat,Democrat
Alabama,1982,Democrat,Democrat,Democrat
Alabama,1983,Democrat,Democrat,Democrat
Alabama,1984,Democrat,Democrat,Democrat
Alabama,1985,Democrat,Democrat,Democrat
Alabama,1986,Democrat,Democrat,Democrat
Alabama,1993,Democrat,Democrat,Democrat
Alabama,1994,Democrat,Democrat,Democrat
Alabama,1999,Democrat,Democrat,Democrat
Alabama,2000,Democrat,Democrat,Democrat
Alabama,2001,Democrat,Democrat,Democrat
Alabama,2002,Democrat,Democrat,Democrat
Alaska,1953,,Republican,Republican
Alaska,1954,,Republican,Republican
Alaska,1955,,Democrat,Democrat
Alaska,1956,,Democrat,Democrat
Alaska,1957,,Democrat,Democrat
Alaska,1958,,Democrat,Democrat
Alaska,1959,Democrat,Democrat,Democrat
Alaska,1960,Democrat,Democrat,Democrat
Alaska,1961,Democrat,Democrat,Democrat
Alaska,1962,Democrat,Democrat,Democrat
Alaska,1965,Democrat,Democrat,Democrat
Alaska,1966,Democrat,Democrat,Democrat
Alaska,1967,Republican,Republican,Republican
Alaska,1968,Republican,Republican,Republican
Alaska,2003,Republican,Republican,Republican
Alaska,2004,Republican,Republican,Republican
Alaska,2005,Republican,Republican,Republican
Alaska,2006,Republican,Republican,Republican
Alaska,2007,Republican,Republican,Republican
Alaska,2008,Republican,Republican,Republican
Arizona,1955,Democrat,Democrat,Democrat
Arizona,1956,Democrat,Democrat,Democrat
Arizona,1957,Democrat,Democrat,Democrat
Arizona,1958,Democrat,Democrat,Democrat
Arizona,1965,Democrat,Democrat,Democrat
Arizona,1966,Democrat,Democrat,Democrat
Arizona,1967,Republican,Republican,Republican
Arizona,1968,Republican,Republican,Republican
Arizona,1969,Republican,Republican,Republican
Arizona,1970,Republican,Republican,Republican
Arizona,1971,Republican,Republican,Republican
Arizona,1972,Republican,Republican,Republican
Arizona,1973,Republican,Republican,Republican
Arizona,1974,Republican,Republican,Republican
Arizona,1987,Republican,Republican,Republican
Arkansas,1951,Democrat,Democrat,Democrat
Arkansas,1952,Democrat,Democrat,Democrat
Arkansas,1953,Democrat,Democrat,Democrat
Arkansas,1954,Democrat,Democrat,Democrat
Arkansas,1955,Democrat,Democrat,Democrat
Arkansas,1956,Democrat,Democrat,Democrat
Arkansas,1957,Democrat,Democrat,Democrat
Arkansas,1958,Democrat,Democrat,Democrat
Arkansas,1959,Democrat,Democrat,Democrat
Arkansas,1960,Democrat,Democrat,Democrat
Arkansas,1961,Democrat,Democrat,Democrat
Arkansas,1962,Democrat,Democrat,Democrat
Arkansas,1963,Democrat,Democrat,Democrat
Arkansas,1964,Democrat,Democrat,Democrat
Arkansas,1965,Democrat,Democrat,Democrat
Arkansas,1966,Democrat,Democrat,Democrat
Arkansas,1971,Democrat,Democrat,Democrat
Arkansas,1972,Democrat,Democrat,Democrat
Arkansas,1973,Democrat,Democrat,Democrat
Arkansas,1974,Democrat,Democrat,Democrat
Arkansas,1975,Democrat,Democrat,Democrat
Arkansas,1976,Democrat,Democrat,Democrat
Arkansas,1977,Democrat,Democrat,Democrat
Arkansas,1978,Democrat,Democrat,Democrat
Arkansas,1979,Democrat,Democrat,Democrat
Arkansas,1980,Democrat,Democrat,Democrat
